OccupationalGrade,OccupationalCode,OccupationalTitle,EstimatedEmployment2008,ProjectedEmployment2018,NetChange20082018,PercentChange20082018,MeanAnnualWages2008,EntryAnnualWages2008,ExperiencedAnnualWages2008,20082018OpeningsGrowth,20082018OpeningsReplacement,20082018OpeningsTotal,AnnualOpeningsGrowth,AnnualOpeningsReplacement,AnnualOpeningsTotal,EducationTrainingRequired,WIARegion
F+,49-9069,"Precision Instrument and Equipment Repairers, All Other",50,50,0,0%,$44630.00,$29670.00,$52110.00,0,15,15,0,2,2,Moderate-term on-the-job training,St. Louis Metro
D-,49-9069,"Precision Instrument and Equipment Repairers, All Other",0,0,0,0%,$44630.00,$29670.00,$52110.00,0,1,1,0,0,0,Moderate-term on-the-job training,South Central
F+,49-9064,Watch Repairers,ND,ND,-1,ND,ND,ND,ND,0,1,1,0,0,0,Long-term on-the-job training,Southeast
F+,49-9064,Watch Repairers,ND,ND,0,ND,ND,ND,ND,0,1,1,0,0,0,Long-term on-the-job training,South Central
F+,49-9064,Watch Repairers,ND,ND,-2,ND,ND,ND,ND,$0,$4,4,$0,$0,0,Long-term on-the-job training,Central
F+,49-9064,Watch Repairers,ND,ND,-5,ND,ND,ND,ND,0,7,7,0,1,1,Long-term on-the-job training,Kansas City Metro
F+,49-9064,Watch Repairers,ND,ND,-1,ND,$35560.00,$34000.00,$36330.00,0,2,2,0,0,0,Long-term on-the-job training,Southwest
F+,49-9064,Watch Repairers,ND,ND,-3,ND,ND,ND,ND,0,5,5,0,1,1,Long-term on-the-job training,Ozark
F+,49-9064,Watch Repairers,ND,ND,-13,ND,ND,ND,ND,0,19,19,0,2,2,Long-term on-the-job training,St. Louis Metro
F+,49-9064,Watch Repairers,ND,ND,0,ND,ND,ND,ND,0,1,1,0,0,0,Long-term on-the-job training,Northwest
D+,49-9064,Watch Repairers,ND,ND,0,ND,ND,ND,ND,0,1,1,0,0,0,Long-term on-the-job training,West Central
F+,49-9064,Watch Repairers,ND,ND,-1,ND,ND,ND,ND,0,1,1,0,0,0,Long-term on-the-job training,Northeast
F+,49-9063,Musical Instrument Repairers and Tuners,ND,ND,2,ND,ND,ND,ND,2,9,11,0,1,1,Long-term on-the-job training,Kansas City Metro
D-,49-9063,Musical Instrument Repairers and Tuners,ND,ND,1,ND,$28590.00,$22470.00,$31650.00,1,2,3,0,0,0,Long-term on-the-job training,Southwest
F+,49-9063,Musical Instrument Repairers and Tuners,ND,ND,2,ND,ND,ND,ND,2,7,9,0,1,1,Long-term on-the-job training,Ozark
F,49-9063,Musical Instrument Repairers and Tuners,ND,ND,0,ND,ND,ND,ND,0,2,2,0,0,0,Long-term on-the-job training,Southeast
D,49-9063,Musical Instrument Repairers and Tuners,ND,ND,3,ND,ND,ND,ND,3,5,8,0,1,1,Long-term on-the-job training,Central
F,49-9063,Musical Instrument Repairers and Tuners,ND,ND,0,ND,ND,ND,ND,0,21,21,0,2,2,Long-term on-the-job training,St. Louis Metro
F,49-9063,Musical Instrument Repairers and Tuners,ND,ND,0,ND,ND,ND,ND,0,1,1,0,0,0,Long-term on-the-job training,Northeast
F,49-9063,Musical Instrument Repairers and Tuners,ND,ND,0,ND,ND,ND,ND,0,1,1,0,0,0,Long-term on-the-job training,South Central
F,49-9063,Musical Instrument Repairers and Tuners,ND,ND,0,ND,ND,ND,ND,0,1,1,0,0,0,Long-term on-the-job training,Northwest
D,49-9063,Musical Instrument Repairers and Tuners,ND,ND,1,ND,ND,ND,ND,1,1,2,0,0,0,Long-term on-the-job training,West Central
B+,49-9062,Medical Equipment Repairers,390,460,76,19.64%,$42870.00,$28060.00,$50280.00,76,112,188,8,11,19,Associate degree,St. Louis Metro
B+,49-9062,Medical Equipment Repairers,50,60,14,28%,$42870.00,$28060.00,$50280.00,14,14,28,1,1,2,Associate degree,Southeast
B+,49-9062,Medical Equipment Repairers,80,100,22,28.57%,$42870.00,$28060.00,$50280.00,22,22,44,2,2,4,Associate degree,Central
B+,49-9062,Medical Equipment Repairers,30,40,8,25.81%,$42870.00,$28060.00,$50280.00,8,9,17,1,1,2,Associate degree,Northwest
B+,49-9062,Medical Equipment Repairers,20,30,8,40%,$42870.00,$28060.00,$50280.00,8,6,14,1,1,2,Associate degree,South Central
B+,49-9062,Medical Equipment Repairers,40,50,13,32.5%,$42870.00,$28060.00,$50280.00,13,12,25,1,1,2,Associate degree,Southwest
B+,49-9062,Medical Equipment Repairers,91,118,27,29.67%,$42870.00,$28060.00,$50280.00,27,26,53,3,3,6,Associate degree,Ozark
B+,49-9062,Medical Equipment Repairers,20,30,9,37.5%,$42870.00,$28060.00,$50280.00,9,7,16,1,1,2,Associate degree,Northeast
B+,49-9062,Medical Equipment Repairers,30,40,5,16.13%,$42870.00,$28060.00,$50280.00,5,9,14,1,1,2,Associate degree,West Central
B+,49-9062,Medical Equipment Repairers,190,230,42,22.11%,$42870.00,$28060.00,$50280.00,42,55,97,4,6,10,Associate degree,Kansas City Metro
D-,49-9061,Camera and Photographic Equipment Repairers,ND,ND,-1,ND,ND,ND,ND,0,1,1,0,0,0,Moderate-term on-the-job training,Kansas City Metro
D-,49-9061,Camera and Photographic Equipment Repairers,ND,ND,-1,ND,ND,ND,ND,0,1,1,0,0,0,Moderate-term on-the-job training,Central
D-,49-9061,Camera and Photographic Equipment Repairers,ND,ND,0,ND,ND,ND,ND,0,1,1,0,0,0,Moderate-term on-the-job training,Ozark
D-,49-9061,Camera and Photographic Equipment Repairers,ND,ND,0,ND,ND,ND,ND,0,0,0,0,0,0,Moderate-term on-the-job training,Southeast
D-,49-9061,Camera and Photographic Equipment Repairers,ND,ND,0,ND,ND,ND,ND,0,0,0,0,0,0,Moderate-term on-the-job training,Northeast
D-,49-9061,Camera and Photographic Equipment Repairers,ND,ND,-1,ND,ND,ND,ND,0,3,3,0,0,0,Moderate-term on-the-job training,St. Louis Metro
A-,49-9052,Telecommunications Line Installers and Repairers,100,110,10,10.42%,$47600.00,$29580.00,$56600.00,10,15,25,1,2,3,Long-term on-the-job training,Southwest
B+,49-9052,Telecommunications Line Installers and Repairers,90,90,4,4.71%,$47600.00,$29580.00,$56600.00,4,13,17,0,1,1,Long-term on-the-job training,Northeast
C,49-9052,Telecommunications Line Installers and Repairers,1010,1050,35,3.46%,$47600.00,$29580.00,$56600.00,35,156,191,4,16,20,Long-term on-the-job training,Kansas City Metro
C,49-9052,Telecommunications Line Installers and Repairers,80,80,-2,-2.6%,$47600.00,$29580.00,$56600.00,0,12,12,0,1,1,Long-term on-the-job training,West Central
C-,49-9052,Telecommunications Line Installers and Repairers,2420,2180,-238,-9.85%,$47600.00,$29580.00,$56600.00,0,372,372,0,37,37,Long-term on-the-job training,St. Louis Metro
C,49-9052,Telecommunications Line Installers and Repairers,60,60,2,3.64%,$47600.00,$29580.00,$56600.00,2,8,10,0,1,1,Long-term on-the-job training,South Central
B+,49-9052,Telecommunications Line Installers and Repairers,350,360,18,5.22%,$47600.00,$29580.00,$56600.00,18,53,71,2,5,7,Long-term on-the-job training,Central
B+,49-9052,Telecommunications Line Installers and Repairers,120,130,5,4.13%,$47600.00,$29580.00,$56600.00,5,19,24,1,2,3,Long-term on-the-job training,Northwest
A-,49-9052,Telecommunications Line Installers and Repairers,382,461,79,20.68%,$47600.00,$29580.00,$56600.00,79,59,138,8,6,14,Long-term on-the-job training,Ozark
B+,49-9052,Telecommunications Line Installers and Repairers,180,190,15,8.57%,$47600.00,$29580.00,$56600.00,15,27,42,2,3,5,Long-term on-the-job training,Southeast
B+,49-9051,Electrical Power-Line Installers and Repairers,120,130,6,4.84%,$53750.00,$38130.00,$61560.00,6,44,50,1,4,5,Long-term on-the-job training,Southwest
B+,49-9051,Electrical Power-Line Installers and Repairers,710,750,34,4.77%,$53750.00,$38130.00,$61560.00,34,253,287,3,25,28,Long-term on-the-job training,Kansas City Metro
B,49-9051,Electrical Power-Line Installers and Repairers,180,190,1,0.54%,$53750.00,$38130.00,$61560.00,1,65,66,0,7,7,Long-term on-the-job training,Northeast
B+,49-9051,Electrical Power-Line Installers and Repairers,150,150,5,3.45%,$53750.00,$38130.00,$61560.00,5,51,56,1,5,6,Long-term on-the-job training,Northwest
A-,49-9051,Electrical Power-Line Installers and Repairers,205,248,43,20.98%,$53750.00,$38130.00,$61560.00,43,73,116,4,7,11,Long-term on-the-job training,Ozark
B+,49-9051,Electrical Power-Line Installers and Repairers,110,110,7,6.67%,$53750.00,$38130.00,$61560.00,7,37,44,1,4,5,Long-term on-the-job training,South Central
B+,49-9051,Electrical Power-Line Installers and Repairers,130,130,0,0%,$53750.00,$38130.00,$61560.00,0,45,45,0,5,5,Long-term on-the-job training,West Central
A-,49-9051,Electrical Power-Line Installers and Repairers,210,230,26,12.62%,$53750.00,$38130.00,$61560.00,26,73,99,3,7,10,Long-term on-the-job training,Southeast
B+,49-9051,Electrical Power-Line Installers and Repairers,1270,1330,53,4.16%,$53750.00,$38130.00,$61560.00,53,452,505,5,45,50,Long-term on-the-job training,St. Louis Metro
B+,49-9051,Electrical Power-Line Installers and Repairers,490,510,23,4.74%,$53750.00,$38130.00,$61560.00,23,172,195,2,17,19,Long-term on-the-job training,Central
F,49-9045,"Refractory Materials Repairers, Except Brickmasons",ND,ND,0,ND,ND,ND,ND,0,0,0,0,0,0,Moderate-term on-the-job training,Southeast
F,49-9045,"Refractory Materials Repairers, Except Brickmasons",ND,ND,0,ND,ND,ND,ND,0,0,0,0,0,0,Moderate-term on-the-job training,Northeast
F,49-9045,"Refractory Materials Repairers, Except Brickmasons",ND,ND,0,ND,ND,ND,ND,0,0,0,0,0,0,Moderate-term on-the-job training,Southwest
F-,49-9045,"Refractory Materials Repairers, Except Brickmasons",ND,ND,-1,ND,ND,ND,ND,0,0,0,0,0,0,Moderate-term on-the-job training,West Central
D-,49-9044,Millwrights,80,80,2,2.47%,$48010.00,$32430.00,$55800.00,2,16,18,0,2,2,Long-term on-the-job training,Central
C,49-9044,Millwrights,30,30,1,3.23%,$48010.00,$32430.00,$55800.00,1,6,7,0,1,1,Long-term on-the-job training,Northwest
C,49-9044,Millwrights,30,30,1,3.85%,$48010.00,$32430.00,$55800.00,1,5,6,0,1,1,Long-term on-the-job training,Northeast
C,49-9044,Millwrights,40,50,3,7.14%,$48010.00,$32430.00,$55800.00,3,8,11,0,1,1,Long-term on-the-job training,Southeast
D-,49-9044,Millwrights,450,430,-23,-5.08%,$48010.00,$32430.00,$55800.00,0,92,92,0,9,9,Long-term on-the-job training,St. Louis Metro
D-,49-9044,Millwrights,74,77,3,4.05%,$48010.00,$32430.00,$55800.00,3,15,18,0,2,2,Long-term on-the-job training,Ozark
D-,49-9044,Millwrights,20,20,-2,-8.7%,$48010.00,$32430.00,$55800.00,0,5,5,0,1,1,Long-term on-the-job training,West Central
D-,49-9044,Millwrights,20,20,-1,-5%,$48010.00,$32430.00,$55800.00,0,4,4,0,0,0,Long-term on-the-job training,South Central
D-,49-9044,Millwrights,50,50,-1,-2.13%,$48010.00,$32430.00,$55800.00,0,10,10,0,1,1,Long-term on-the-job training,Southwest
D+,49-9044,Millwrights,200,210,9,4.52%,$48010.00,$32430.00,$55800.00,9,40,49,1,4,5,Long-term on-the-job training,Kansas City Metro
F+,49-9043,"Maintenance Workers, Machinery",70,60,-3,-4.62%,$38010.00,$26020.00,$44000.00,0,10,10,0,1,1,Moderate-term on-the-job training,Central
D+,49-9043,"Maintenance Workers, Machinery",50,60,3,5.66%,$38010.00,$26020.00,$44000.00,3,8,11,0,1,1,Moderate-term on-the-job training,Southwest
D+,49-9043,"Maintenance Workers, Machinery",50,54,4,8%,$38010.00,$26020.00,$44000.00,4,8,12,0,1,1,Moderate-term on-the-job training,Ozark
F+,49-9043,"Maintenance Workers, Machinery",140,140,-3,-2.11%,$38010.00,$26020.00,$44000.00,0,22,22,0,2,2,Moderate-term on-the-job training,Kansas City Metro
F+,49-9043,"Maintenance Workers, Machinery",40,40,-1,-2.63%,$38010.00,$26020.00,$44000.00,0,6,6,0,1,1,Moderate-term on-the-job training,West Central
F+,49-9043,"Maintenance Workers, Machinery",20,20,0,0%,$38010.00,$26020.00,$44000.00,0,3,3,0,0,0,Moderate-term on-the-job training,South Central
F+,49-9043,"Maintenance Workers, Machinery",290,290,-1,-0.34%,$38010.00,$26020.00,$44000.00,0,45,45,0,5,5,Moderate-term on-the-job training,St. Louis Metro
F+,49-9043,"Maintenance Workers, Machinery",40,40,0,0%,$38010.00,$26020.00,$44000.00,0,7,7,0,1,1,Moderate-term on-the-job training,Northeast
F+,49-9043,"Maintenance Workers, Machinery",50,50,-1,-2.13%,$38010.00,$26020.00,$44000.00,0,7,7,0,1,1,Moderate-term on-the-job training,Northwest
F+,49-9043,"Maintenance Workers, Machinery",70,70,0,0%,$38010.00,$26020.00,$44000.00,0,11,11,0,1,1,Moderate-term on-the-job training,Southeast
B+,49-9042,"Maintenance and Repair Workers, General",1420,1470,55,3.89%,$34270.00,$21680.00,$40570.00,55,218,273,6,22,28,Moderate-term on-the-job training,Southwest
B+,49-9042,"Maintenance and Repair Workers, General",1700,1760,63,3.71%,$34270.00,$21680.00,$40570.00,63,262,325,6,26,32,Moderate-term on-the-job training,Southeast
B+,49-9042,"Maintenance and Repair Workers, General",1240,1300,59,4.77%,$34270.00,$21680.00,$40570.00,59,191,250,6,19,25,Moderate-term on-the-job training,Northwest
B+,49-9042,"Maintenance and Repair Workers, General",11550,12170,623,5.39%,$34270.00,$21680.00,$40570.00,623,1778,2401,62,178,240,Moderate-term on-the-job training,St. Louis Metro
B+,49-9042,"Maintenance and Repair Workers, General",1060,1100,39,3.69%,$34270.00,$21680.00,$40570.00,39,163,202,4,16,20,Moderate-term on-the-job training,West Central
B+,49-9042,"Maintenance and Repair Workers, General",2697,2956,259,9.6%,$34270.00,$21680.00,$40570.00,259,415,674,26,42,68,Moderate-term on-the-job training,Ozark
B+,49-9042,"Maintenance and Repair Workers, General",720,760,39,5.39%,$34270.00,$21680.00,$40570.00,39,111,150,4,11,15,Moderate-term on-the-job training,South Central
B-,49-9042,"Maintenance and Repair Workers, General",6080,6360,280,4.61%,$34270.00,$21680.00,$40570.00,280,936,1216,28,94,122,Moderate-term on-the-job training,Kansas City Metro
B+,49-9042,"Maintenance and Repair Workers, General",1050,1100,55,5.25%,$34270.00,$21680.00,$40570.00,55,161,216,6,16,22,Moderate-term on-the-job training,Northeast
B+,49-9042,"Maintenance and Repair Workers, General",3070,3260,194,6.32%,$34270.00,$21680.00,$40570.00,194,473,667,19,47,66,Moderate-term on-the-job training,Central
B+,49-9041,Industrial Machinery Mechanics,430,500,71,16.63%,$43550.00,$29080.00,$50780.00,71,61,132,7,6,13,Long-term on-the-job training,Central
B+,49-9041,Industrial Machinery Mechanics,2160,2370,203,9.39%,$43550.00,$29080.00,$50780.00,203,311,514,20,31,51,Long-term on-the-job training,St. Louis Metro
B+,49-9041,Industrial Machinery Mechanics,240,260,22,9.32%,$43550.00,$29080.00,$50780.00,22,34,56,2,3,5,Long-term on-the-job training,West Central
A-,49-9041,Industrial Machinery Mechanics,400,440,40,10%,$43550.00,$29080.00,$50780.00,40,58,98,4,6,10,Long-term on-the-job training,Northwest
B+,49-9041,Industrial Machinery Mechanics,200,220,28,14.29%,$43550.00,$29080.00,$50780.00,28,28,56,3,3,6,Long-term on-the-job training,Northeast
C,49-9041,Industrial Machinery Mechanics,417,457,40,9.59%,$43550.00,$29080.00,$50780.00,40,60,100,4,6,10,Long-term on-the-job training,Ozark
A-,49-9041,Industrial Machinery Mechanics,400,450,52,13.03%,$43550.00,$29080.00,$50780.00,52,57,109,5,6,11,Long-term on-the-job training,Southeast
C,49-9041,Industrial Machinery Mechanics,140,150,13,9.42%,$43550.00,$29080.00,$50780.00,13,20,33,1,2,3,Long-term on-the-job training,South Central
C,49-9041,Industrial Machinery Mechanics,940,1020,77,8.19%,$43550.00,$29080.00,$50780.00,77,135,212,8,14,22,Long-term on-the-job training,Kansas City Metro
A-,49-9041,Industrial Machinery Mechanics,490,550,59,11.94%,$43550.00,$29080.00,$50780.00,59,71,130,6,7,13,Long-term on-the-job training,Southwest
F+,49-9031,Home Appliance Repairers,60,60,0,0%,$35390.00,$21940.00,$42110.00,0,10,10,0,1,1,Long-term on-the-job training,Southwest
F+,49-9031,Home Appliance Repairers,40,40,-1,-2.27%,$35390.00,$21940.00,$42110.00,0,7,7,0,1,1,Long-term on-the-job training,West Central
F+,49-9031,Home Appliance Repairers,270,260,-3,-1.13%,$35390.00,$21940.00,$42110.00,0,41,41,0,4,4,Long-term on-the-job training,Kansas City Metro
F+,49-9031,Home Appliance Repairers,530,490,-38,-7.24%,$35390.00,$21940.00,$42110.00,0,81,81,0,8,8,Long-term on-the-job training,St. Louis Metro
F+,49-9031,Home Appliance Repairers,40,40,-2,-4.55%,$35390.00,$21940.00,$42110.00,0,7,7,0,1,1,Long-term on-the-job training,South Central
F+,49-9031,Home Appliance Repairers,50,50,0,0%,$35390.00,$21940.00,$42110.00,0,8,8,0,1,1,Long-term on-the-job training,Northwest
F+,49-9031,Home Appliance Repairers,141,141,0,0%,$35390.00,$21940.00,$42110.00,0,22,22,0,2,2,Long-term on-the-job training,Ozark
F+,49-9031,Home Appliance Repairers,50,50,-1,-2%,$35390.00,$21940.00,$42110.00,0,8,8,0,1,1,Long-term on-the-job training,Northeast
F+,49-9031,Home Appliance Repairers,150,150,0,0%,$35390.00,$21940.00,$42110.00,0,23,23,0,2,2,Long-term on-the-job training,Central
F+,49-9031,Home Appliance Repairers,70,70,0,0%,$35390.00,$21940.00,$42110.00,0,11,11,0,1,1,Long-term on-the-job training,Southeast
B+,49-9021,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",180,230,53,30.29%,$40880.00,$26120.00,$48260.00,53,28,81,5,3,8,Long-term on-the-job training,Southwest
B+,49-9021,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",140,180,35,24.31%,$40880.00,$26120.00,$48260.00,35,23,58,4,2,6,Long-term on-the-job training,Northwest
A-,49-9021,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",453,597,144,31.79%,$40880.00,$26120.00,$48260.00,144,73,217,14,7,21,Long-term on-the-job training,Ozark
B+,49-9021,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",70,90,17,23.94%,$40880.00,$26120.00,$48260.00,17,11,28,2,1,3,Long-term on-the-job training,South Central
B+,49-9021,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",ND,ND,97,ND,$40880.00,$26120.00,$48260.00,97,80,177,10,8,18,Long-term on-the-job training,Central
B+,49-9021,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",2080,2420,346,16.66%,$40880.00,$26120.00,$48260.00,346,334,680,35,33,68,Long-term on-the-job training,St. Louis Metro
A-,49-9021,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",1020,1270,248,24.34%,$40880.00,$26120.00,$48260.00,248,164,412,25,16,41,Long-term on-the-job training,Kansas City Metro
B+,49-9021,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",150,170,23,15.65%,$40880.00,$26120.00,$48260.00,23,24,47,2,2,4,Long-term on-the-job training,West Central
A-,49-9021,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",230,300,71,31.42%,$40880.00,$26120.00,$48260.00,71,36,107,7,4,11,Long-term on-the-job training,Southeast
B+,49-9021,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",140,170,30,22.06%,$40880.00,$26120.00,$48260.00,30,22,52,3,2,5,Long-term on-the-job training,Northeast
D-,49-9012,"Control and Valve Installers and Repairers, Except Mechanical Door",100,100,2,2.08%,$46990.00,$30140.00,$55410.00,2,15,17,0,2,2,Moderate-term on-the-job training,Central
C,49-9012,"Control and Valve Installers and Repairers, Except Mechanical Door",45,48,3,6.67%,$46990.00,$30140.00,$55410.00,3,7,10,0,1,1,Moderate-term on-the-job training,Ozark
C,49-9012,"Control and Valve Installers and Repairers, Except Mechanical Door",40,40,1,2.7%,$46990.00,$30140.00,$55410.00,1,6,7,0,1,1,Moderate-term on-the-job training,Northeast
D-,49-9012,"Control and Valve Installers and Repairers, Except Mechanical Door",230,230,2,0.86%,$46990.00,$30140.00,$55410.00,2,36,38,0,4,4,Moderate-term on-the-job training,St. Louis Metro
C,49-9012,"Control and Valve Installers and Repairers, Except Mechanical Door",40,40,1,2.63%,$46990.00,$30140.00,$55410.00,1,6,7,0,1,1,Moderate-term on-the-job training,Southeast
B,49-9012,"Control and Valve Installers and Repairers, Except Mechanical Door",20,20,3,16.67%,$46990.00,$30140.00,$55410.00,3,3,6,0,0,0,Moderate-term on-the-job training,South Central
F+,49-9012,"Control and Valve Installers and Repairers, Except Mechanical Door",130,130,2,1.55%,$46990.00,$30140.00,$55410.00,2,20,22,0,2,2,Moderate-term on-the-job training,Kansas City Metro
D-,49-9012,"Control and Valve Installers and Repairers, Except Mechanical Door",20,20,0,0%,$46990.00,$30140.00,$55410.00,0,4,4,0,0,0,Moderate-term on-the-job training,Southwest
C,49-9012,"Control and Valve Installers and Repairers, Except Mechanical Door",20,20,0,0%,$46990.00,$30140.00,$55410.00,0,4,4,0,0,0,Moderate-term on-the-job training,West Central
D-,49-9012,"Control and Valve Installers and Repairers, Except Mechanical Door",30,30,0,0%,$46990.00,$30140.00,$55410.00,0,4,4,0,0,0,Moderate-term on-the-job training,Northwest
C,49-9011,Mechanical Door Repairers,20,20,2,12.5%,$35260.00,$25900.00,$39930.00,2,2,4,0,0,0,Moderate-term on-the-job training,Northeast
C,49-9011,Mechanical Door Repairers,20,20,2,9.52%,$35260.00,$25900.00,$39930.00,2,3,5,0,0,0,Moderate-term on-the-job training,Northwest
D+,49-9011,Mechanical Door Repairers,60,60,3,5.45%,$35260.00,$25900.00,$39930.00,3,8,11,0,1,1,Moderate-term on-the-job training,Central
F+,49-9011,Mechanical Door Repairers,210,210,0,0%,$35260.00,$25900.00,$39930.00,0,32,32,0,3,3,Moderate-term on-the-job training,St. Louis Metro
B-,49-9011,Mechanical Door Repairers,20,20,3,15%,$35260.00,$25900.00,$39930.00,3,3,6,0,0,0,Moderate-term on-the-job training,Southwest
D+,49-9011,Mechanical Door Repairers,46,52,6,13.04%,$35260.00,$25900.00,$39930.00,6,7,13,1,1,2,Moderate-term on-the-job training,Ozark
D+,49-9011,Mechanical Door Repairers,110,110,7,6.67%,$35260.00,$25900.00,$39930.00,7,16,23,1,2,3,Moderate-term on-the-job training,Kansas City Metro
D+,49-9011,Mechanical Door Repairers,30,30,2,7.14%,$35260.00,$25900.00,$39930.00,2,4,6,0,0,0,Moderate-term on-the-job training,Southeast
D+,49-9011,Mechanical Door Repairers,20,20,1,5.56%,$35260.00,$25900.00,$39930.00,1,3,4,0,0,0,Moderate-term on-the-job training,West Central
B-,49-9011,Mechanical Door Repairers,0,0,1,50%,$35260.00,$25900.00,$39930.00,1,0,1,0,0,0,Moderate-term on-the-job training,South Central
D+,49-3093,Tire Repairers and Changers,110,110,2,1.8%,$23870.00,$16950.00,$27320.00,2,23,25,0,2,2,Short-term on-the-job training,West Central
D+,49-3093,Tire Repairers and Changers,100,100,1,0.97%,$23870.00,$16950.00,$27320.00,1,21,22,0,2,2,Short-term on-the-job training,Northwest
D+,49-3093,Tire Repairers and Changers,170,180,4,2.33%,$23870.00,$16950.00,$27320.00,4,36,40,0,4,4,Short-term on-the-job training,Southeast
F+,49-3093,Tire Repairers and Changers,90,90,1,1.18%,$23870.00,$16950.00,$27320.00,1,18,19,0,2,2,Short-term on-the-job training,South Central
F+,49-3093,Tire Repairers and Changers,259,267,8,3.09%,$23870.00,$16950.00,$27320.00,8,54,62,1,5,6,Short-term on-the-job training,Ozark
D+,49-3093,Tire Repairers and Changers,880,900,17,1.93%,$23870.00,$16950.00,$27320.00,17,183,200,2,18,20,Short-term on-the-job training,St. Louis Metro
D+,49-3093,Tire Repairers and Changers,150,160,4,2.65%,$23870.00,$16950.00,$27320.00,4,31,35,0,3,3,Short-term on-the-job training,Southwest
F+,49-3093,Tire Repairers and Changers,330,330,-4,-1.2%,$23870.00,$16950.00,$27320.00,0,69,69,0,7,7,Short-term on-the-job training,Central
F+,49-3093,Tire Repairers and Changers,510,510,-3,-0.59%,$23870.00,$16950.00,$27320.00,0,106,106,0,11,11,Short-term on-the-job training,Kansas City Metro
F+,49-3093,Tire Repairers and Changers,90,90,-1,-1.09%,$23870.00,$16950.00,$27320.00,0,19,19,0,2,2,Short-term on-the-job training,Northeast
F+,49-3092,Recreational Vehicle Service Technicians,ND,ND,4,ND,$29440.00,$20970.00,$33680.00,4,10,14,0,1,1,Long-term on-the-job training,Kansas City Metro
D-,49-3092,Recreational Vehicle Service Technicians,10,10,1,12.5%,$29440.00,$20970.00,$33680.00,1,2,3,0,0,0,Long-term on-the-job training,South Central
F+,49-3092,Recreational Vehicle Service Technicians,ND,ND,1,ND,$29440.00,$20970.00,$33680.00,1,3,4,0,0,0,Long-term on-the-job training,Southwest
F+,49-3092,Recreational Vehicle Service Technicians,ND,ND,1,ND,$29440.00,$20970.00,$33680.00,1,3,4,0,0,0,Long-term on-the-job training,Southeast
D-,49-3092,Recreational Vehicle Service Technicians,ND,ND,1,ND,$29440.00,$20970.00,$33680.00,1,2,3,0,0,0,Long-term on-the-job training,West Central
F,49-3092,Recreational Vehicle Service Technicians,10,10,0,0%,$29440.00,$20970.00,$33680.00,0,2,2,0,0,0,Long-term on-the-job training,Northwest
D-,49-3092,Recreational Vehicle Service Technicians,ND,ND,9,ND,$29440.00,$20970.00,$33680.00,9,18,27,1,2,3,Long-term on-the-job training,St. Louis Metro
F,49-3092,Recreational Vehicle Service Technicians,ND,ND,0,ND,$29440.00,$20970.00,$33680.00,0,2,2,0,0,0,Long-term on-the-job training,Northeast
F+,49-3092,Recreational Vehicle Service Technicians,ND,ND,3,ND,$29440.00,$20970.00,$33680.00,3,5,8,0,1,1,Long-term on-the-job training,Ozark
D-,49-3092,Recreational Vehicle Service Technicians,30,30,3,9.68%,$29440.00,$20970.00,$33680.00,3,6,9,0,1,1,Long-term on-the-job training,Central
F,49-3091,Bicycle Repairers,ND,ND,0,ND,ND,ND,ND,0,0,0,0,0,0,Moderate-term on-the-job training,Northeast
D-,49-3091,Bicycle Repairers,ND,ND,2,ND,ND,ND,ND,2,3,5,0,0,0,Moderate-term on-the-job training,Ozark
D,49-3091,Bicycle Repairers,ND,ND,4,ND,ND,ND,ND,4,3,7,0,0,0,Moderate-term on-the-job training,Kansas City Metro
D,49-3091,Bicycle Repairers,ND,ND,6,ND,ND,ND,ND,6,8,14,1,1,2,Moderate-term on-the-job training,St. Louis Metro
D,49-3091,Bicycle Repairers,ND,ND,1,ND,ND,ND,ND,1,1,2,0,0,0,Moderate-term on-the-job training,Southeast
D,49-3091,Bicycle Repairers,ND,ND,6,ND,ND,ND,ND,6,2,8,1,0,1,Moderate-term on-the-job training,Central
F,49-3091,Bicycle Repairers,ND,ND,0,ND,ND,ND,ND,0,0,0,0,0,0,Moderate-term on-the-job training,Northwest
D,49-3091,Bicycle Repairers,ND,ND,1,ND,ND,ND,ND,1,0,1,0,0,0,Moderate-term on-the-job training,West Central
F,49-3091,Bicycle Repairers,ND,ND,0,ND,$23010.00,$17590.00,$25720.00,0,1,1,0,0,0,Moderate-term on-the-job training,Southwest
F+,49-3053,Outdoor Power Equipment and Other Small Engine Mechanics,60,60,3,4.92%,$25810.00,$17570.00,$29930.00,3,13,16,0,1,1,Moderate-term on-the-job training,Southeast
F+,49-3053,Outdoor Power Equipment and Other Small Engine Mechanics,89,96,7,7.87%,$25810.00,$17570.00,$29930.00,7,18,25,1,2,3,Moderate-term on-the-job training,Ozark
