Garden Name,Garden Address,Location 1
Truman Medical Center - New Frontiers Garden,2211 Charlotte,"2211 Charlotte
Kansas City, MO 64108
(39.08564077200049, -94.57464023099965)"
Turner Community Garden,55th & Klamm,"55th &amp; Klamm
Kansas City, KS 66106
(39.06349320100048, -94.68191612199968)"
University of Central Missouri Teach Garden,707 S. Mitchell Street,"707 S. Mitchell Street
Warrensburg, MO 64093
(38.75438037800046, -93.72664406599966)"
Uplift Community Garden,1608 Vogt Road,"1608 Vogt Road
Raymore, MO 64083
(38.8372305850005, -94.4483500829997)"
Victorious Life (Plant-a-Seed),3400 Paseo,"3400 Paseo
Kansas City, MO 64109
(39.063980167000466, -94.56706051799966)"
Vineyard Community Center,5111 E. 40th Street,"5111 E. 40th Street
Kansas City, MO 64130
(39.05293093200049, -94.52382112199967)"
Voices of the People Community Garden,3832 Chestnut,"3832 Chestnut
Kansas City, MO 64128
(39.05592110400045, -94.55124083299967)"
Volker Neighborhood Garden,42nd & Wyoming,"42nd &amp; Wyoming
Kansas City, MO 64111
(39.05550273500046, -94.59306944999969)"
Washington Wheatly Neighborhood Assn.,2410 Montgall,"2410 Montgall
Kansas City, MO 64127
(39.082631010000455, -94.55105070699966)"
Waterstone Apartments,1100 County Line Road,"1100 County Line Road
Kansas City, KS 66103
(39.04410951200049, -94.63637159699965)"
WCUMC Community Outreach Garden,1330 NE Delta School Road,"1330 NE Delta School Road
Lee's Summit, MO 64064
(38.990620110000464, -94.34697112799967)"
Westwood Community Garden,5050 Rainbow Boulevard,"5050 Rainbow Boulevard
Westwood, KS 66205
(39.03633115200046, -94.61188084499969)"
Whatsoever Community Center,1201 Ewing,"1201 Ewing
Kansas City, MO 64126
(39.09722104700046, -94.50330740899966)"
Whole Foods 119th Street Demo Garden,6621 West 119th Street,"6621 West 119th Street
Overland Park, KS 66209
(38.912835129000484, -94.66127071499966)"
Woods Chapel Lodge Community Garden,1000 NW Arlington Place,"1000 NW Arlington Place
Blue Springs, MO 64015
(39.02893004200047, -94.30043044199965)"
Wyandotte County Neighbors Garden,269 S. Mill Street,"269 S. Mill Street
Kansas City, KS 66101
(39.09609082100047, -94.63075062199965)"
